Material,Sample,Site,Li,Be,S,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb,Mo,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Th,U,Ce*,Eu*
Iron-SI,MA-201422,Eisenberg,27.760,6.950,991.470,10.010,182.180,193.820,7.840,48.690,10.640,5.800,14.580,6.670,63.210,107.150,37.550,201.740,10.490,1.120,1.360,0.700,4.580,473.970,25.560,52.840,6.670,28.900,6.560,1.220,5.650,0.880,5.830,1.100,3.450,0.410,2.890,0.370,5.020,0.620,5.020,6.160,8.700,0.922,0.942
Iron-SI,MA-201423,Eisenberg,20.780,3.420,680.290,8.550,61.270,42.230,5.020,1.330,4.080,3.110,10.880,0.290,26.930,49.490,62.770,130.170,5.740,0.760,3.140,0.030,3.290,232.900,35.680,77.770,8.070,35.370,7.840,1.570,9.200,1.270,8.720,1.740,5.030,0.670,4.210,0.660,3.440,0.530,3.440,4.820,1.180,1.045,0.857
Iron-SI,MA-201423,Eisenberg,20.320,5.220,2973.770,8.660,66.170,46.060,5.350,0.010,5.240,1.650,10.530,0.070,27.370,51.940,61.150,130.130,6.130,0.980,2.350,0.060,3.310,234.180,35.100,76.610,7.880,31.870,8.000,1.380,9.360,1.360,8.880,1.650,5.210,0.760,3.750,0.690,3.150,0.500,3.150,4.530,1.230,1.050,0.740
Iron-SI,MA-201423,Eisenberg,21.680,3.460,2404.040,10.280,81.440,59.980,6.480,2.060,6.050,1.670,8.850,5.670,27.770,50.480,65.280,133.130,5.920,0.750,3.360,0.200,3.560,227.230,34.560,77.210,8.120,34.390,7.300,1.390,8.170,1.340,8.860,1.820,5.550,0.690,4.320,0.630,3.070,0.390,3.070,4.390,1.200,1.051,0.837
Iron-SI,MA-201423,Eisenberg,21.700,4.200,1158.740,8.190,67.240,43.880,3.830,1.060,4.070,4.010,11.670,1.280,32.440,68.100,71.370,156.050,7.190,0.810,3.210,0.010,3.870,305.500,42.860,94.180,10.070,40.710,8.720,1.780,10.150,1.580,9.960,1.990,5.600,0.790,5.020,0.630,3.650,0.530,3.650,5.700,1.560,1.034,0.878
Iron-SI,MA-201423,Eisenberg,23.700,3.650,934.290,9.290,47.020,28.090,3.720,0.010,4.130,2.470,9.620,0.240,30.200,59.120,71.830,146.010,7.040,0.220,3.360,0.020,3.820,270.520,41.510,90.210,9.480,38.580,9.340,1.790,9.530,1.610,9.380,2.050,5.550,0.720,4.530,0.730,3.740,0.530,3.740,5.830,1.520,1.037,0.888
Iron-SI,MA-201423,Eisenberg,21.560,4.690,1162.410,7.100,45.840,28.430,4.120,0.010,5.130,5.290,10.280,2.200,35.240,66.550,70.960,149.190,7.110,0.580,3.600,0.140,4.700,290.790,44.530,95.810,10.280,40.450,9.750,1.910,10.270,1.570,9.180,2.040,5.950,0.720,4.040,0.650,3.870,0.500,3.870,6.000,1.390,1.021,0.891
Iron-SI,MA-201423,Eisenberg,21.540,4.220,1028.100,5.820,26.130,21.290,6.550,0.350,3.610,4.160,12.620,0.330,27.700,59.650,61.350,117.500,5.950,1.370,2.890,0.010,3.670,266.780,39.250,84.050,8.400,36.560,8.640,1.550,9.640,1.290,7.570,1.630,4.760,0.530,3.900,0.450,3.360,0.470,3.360,5.250,1.350,1.054,0.790
Iron-SI,MA-201423,Eisenberg,22.020,4.100,811.910,10.130,48.750,25.290,3.710,0.610,3.440,8.890,9.930,3.580,28.070,64.730,73.700,152.530,6.900,0.580,2.730,0.010,3.400,292.760,44.250,94.170,9.860,36.540,7.880,1.830,9.430,1.350,9.200,2.000,5.470,0.800,5.180,0.720,4.100,0.480,4.100,5.690,1.430,1.028,0.983
Iron-SI,MA-201423,Eisenberg,20.280,3.400,323.350,7.400,45.020,26.650,5.920,1.180,3.380,2.320,10.380,4.100,33.170,60.530,54.900,112.560,5.390,1.130,4.610,0.170,3.650,256.700,33.340,74.130,7.660,29.600,6.840,1.570,8.400,1.110,7.010,1.420,4.500,0.680,3.630,0.500,3.050,0.440,3.050,4.340,1.030,1.058,0.956
Iron-SI,MA-201423,Eisenberg,20.100,3.600,744.900,8.810,76.080,51.310,5.120,0.150,4.480,2.810,8.810,0.250,27.420,56.470,67.240,136.390,6.000,0.550,4.490,0.160,3.560,255.740,38.870,85.870,9.070,36.620,7.880,1.660,8.990,1.420,9.650,1.730,5.030,0.780,4.680,0.690,3.630,0.520,3.630,5.140,1.400,1.043,0.916
Iron-SI,MA-201423,Eisenberg,21.390,3.800,1476.240,8.370,58.090,39.100,23.770,29.150,6.850,3.170,10.440,36.320,29.450,58.210,65.700,135.980,6.380,1.040,3.430,0.390,3.710,260.810,39.140,84.820,8.850,36.330,8.140,1.660,9.220,1.380,8.810,1.790,5.290,0.700,4.290,0.630,3.510,0.480,3.510,5.140,1.330,1.039,0.891
Iron-SI-P,MA-201425,Eisenberg,29.760,5.510,996.600,8.840,123.560,366.990,1.460,7.250,12.690,54.030,17.260,1.420,32.460,118.870,31.820,72.720,4.350,0.250,0.160,0.260,2.700,369.700,20.330,36.780,4.840,19.260,4.720,0.960,4.060,0.550,4.700,0.830,2.900,0.300,2.980,0.390,2.080,0.230,2.080,3.590,6.020,0.846,1.030
Iron-SI-P,MA-201425,Eisenberg,27.210,1.820,1224.660,6.620,153.260,497.010,2.250,21.080,13.690,93.050,23.590,7.250,4.420,96.480,27.400,75.990,4.180,0.750,0.620,0.580,0.990,251.650,16.210,31.570,4.570,16.820,3.570,1.040,4.060,0.420,3.460,0.580,2.370,0.280,2.140,0.280,1.660,0.260,1.660,2.680,5.100,0.833,1.270
Iron-SI-P,MA-201425,Eisenberg,20.000,1.730,1200.080,8.820,88.350,239.960,3.660,36.890,12.410,29.500,15.260,7.940,39.830,242.550,18.020,149.010,5.120,0.680,0.390,0.320,1.730,306.960,16.820,34.430,4.010,16.600,3.150,0.770,3.330,0.530,2.700,0.650,1.580,0.330,1.570,0.230,4.120,0.490,4.120,4.950,2.610,0.956,1.110
Iron-SI-P,MA-201425,Eisenberg,25.660,3.020,1140.440,8.090,121.720,367.990,2.460,21.740,12.930,58.860,18.700,5.540,25.570,152.640,25.750,99.240,4.550,0.560,0.390,0.390,1.800,309.430,17.790,34.260,4.470,17.560,3.810,0.920,3.820,0.500,3.620,0.690,2.280,0.300,2.230,0.300,2.620,0.320,2.620,3.740,4.580,0.876,1.129
Iron-SI-P,MA-201426,Eisenberg,15.460,4.430,1784.490,7.600,28.200,17.910,38.190,23.450,5.000,4.960,10.340,2.380,33.670,111.700,46.090,121.560,4.550,0.280,0.560,0.040,2.080,603.450,26.810,58.180,5.760,25.780,5.030,1.220,6.000,0.960,5.950,1.220,3.680,0.510,2.930,0.570,3.370,0.340,3.370,3.960,1.110,1.066,1.028
Iron-SI-P,MA-201426,Eisenberg,13.700,6.510,888.840,6.870,18.560,10.630,137.990,67.960,15.860,3.240,11.190,2.530,42.630,125.840,51.670,139.760,6.170,0.600,0.730,0.010,2.480,667.440,34.720,76.010,7.480,30.950,6.260,1.450,7.470,1.140,7.730,1.430,4.590,0.450,3.170,0.430,3.590,0.430,3.590,4.410,1.400,1.074,0.982
Iron-SI-P,MA-201426,Eisenberg,15.040,3.930,1447.000,8.200,33.150,17.480,66.860,84.300,3.430,4.290,10.720,13.390,32.700,108.270,50.870,155.210,6.060,0.200,1.110,0.060,1.910,572.540,30.700,64.550,6.530,27.010,6.000,1.470,6.840,0.970,6.640,1.440,4.050,0.520,3.630,0.470,3.770,0.440,3.770,4.120,1.170,1.038,1.066
Iron-SI-P,MA-201426,Eisenberg,8.670,1.990,405.480,5.620,130.350,133.410,73.450,49.090,4.320,3.580,7.160,10.190,7.080,45.920,13.710,62.850,1.680,0.490,0.240,0.010,0.550,179.840,7.770,18.200,1.840,7.190,1.600,0.340,1.880,0.250,1.600,0.420,1.020,0.240,1.050,0.190,1.900,0.140,1.900,1.060,0.460,1.098,0.909
Iron-SI-P,MA-201426,Eisenberg,15.810,4.660,1514.550,7.440,20.560,19.330,28.040,13.390,1.780,0.480,8.440,3.160,34.970,109.130,45.510,113.880,4.870,0.410,0.550,0.070,2.460,542.250,26.880,58.300,5.280,22.120,5.490,1.220,5.640,1.030,5.820,1.260,3.660,0.410,3.410,0.470,3.480,0.320,3.480,3.560,1.100,1.111,1.025
Iron-SI-P,MA-201426,Eisenberg,13.210,5.620,1320.750,6.340,43.260,33.820,147.070,249.880,29.510,1.920,14.180,1.010,33.730,90.540,50.420,137.040,5.650,2.060,0.590,0.070,2.170,582.490,29.520,63.920,6.210,27.610,6.700,1.210,6.860,1.000,7.200,1.430,3.420,0.410,4.050,0.490,3.070,0.430,3.070,3.620,1.170,1.075,0.835
Iron-SI-P,MA-201426,Eisenberg,12.400,3.750,1264.600,6.670,45.640,30.050,165.820,323.930,19.880,1.390,10.880,2.410,30.060,79.440,40.770,113.100,4.400,0.890,0.820,0.080,1.900,499.480,24.770,52.190,4.810,20.480,4.370,1.160,5.350,0.840,5.190,1.170,3.190,0.390,2.930,0.400,3.000,0.340,3.000,3.290,1.220,1.085,1.108
Iron-SI-P,MA-201426,Eisenberg,13.960,4.700,1218.080,7.360,39.430,30.840,79.820,98.260,10.520,14.620,10.730,6.190,33.440,105.700,45.350,126.640,4.990,0.570,0.750,0.090,2.040,583.690,27.360,59.290,5.720,24.230,5.190,1.190,6.100,0.920,5.850,1.230,3.660,0.470,3.290,0.490,3.350,0.380,3.350,3.570,1.130,1.079,0.980
Iron-SI-P,MA-201427,Eisenberg,18.030,5.420,1538.760,14.980,122.890,134.610,8.890,20.710,5.910,16.400,11.760,0.550,37.180,91.780,28.400,225.870,9.630,1.000,0.850,0.470,1.820,361.010,22.690,41.700,5.130,21.290,5.740,0.880,5.380,0.610,5.860,0.990,2.620,0.480,3.020,0.450,5.410,0.590,5.410,5.190,4.400,0.881,0.743
Iron-SI-P,MA-201427,Eisenberg,30.090,12.090,826.110,14.790,289.490,310.100,9.330,69.610,9.340,5.220,11.800,6.450,49.670,129.300,57.600,277.370,12.280,0.730,0.880,0.500,2.260,637.110,34.690,72.410,8.830,37.060,8.000,1.940,8.470,1.330,7.940,1.510,4.380,0.570,4.750,0.700,8.300,0.880,8.300,7.150,13.070,0.943,1.100
Iron-SI-P,MA-201427,Eisenberg,14.320,4.780,940.070,7.520,43.340,45.380,4.390,1.030,1.230,8.240,8.670,0.010,39.230,85.380,35.710,215.540,8.170,0.710,0.390,0.080,1.740,410.570,23.620,45.440,6.240,26.150,6.240,1.100,5.250,1.030,5.970,1.080,3.330,0.450,2.790,0.440,4.990,0.440,4.990,5.220,4.870,0.852,0.903
Iron-SI-P,MA-201427,Eisenberg,15.960,4.300,2788.960,12.040,177.090,215.910,4.500,5.720,6.130,14.030,20.180,1.050,24.750,65.730,28.700,151.460,6.990,2.570,0.870,0.340,0.860,293.760,18.070,38.270,4.560,18.910,4.870,0.950,5.730,0.850,4.500,0.850,2.600,0.340,2.430,0.380,4.280,0.400,4.280,5.200,5.630,0.961,0.834
Iron-SI-P,MA-201427,Eisenberg,20.190,0.690,1096.160,7.400,122.490,176.480,1.980,10.440,4.850,24.940,29.570,2.900,18.330,146.880,19.490,172.900,7.970,1.850,0.250,0.080,0.610,264.830,20.800,41.970,5.070,15.850,2.630,1.020,3.310,0.600,3.590,0.640,1.780,0.260,1.640,0.180,3.920,0.510,3.920,6.230,3.190,0.932,1.593
Iron-SI-P,MA-201427,Eisenberg,16.320,6.080,1091.460,8.870,99.900,134.550,6.550,13.930,7.940,17.310,22.040,3.420,33.490,108.210,34.000,146.220,6.930,2.050,0.450,0.180,1.040,420.330,27.810,54.610,6.560,28.230,6.530,1.600,5.750,1.050,5.730,0.880,3.490,0.410,2.630,0.390,3.600,0.530,3.600,6.860,6.860,0.922,1.227
Iron-SI-P,MA-201427,Eisenberg,19.350,2.090,1509.240,11.230,141.000,163.880,3.410,6.610,10.420,42.640,12.860,4.010,13.920,46.630,19.650,95.510,4.140,2.180,0.180,0.210,0.530,171.310,11.840,24.370,2.770,11.020,2.620,0.490,3.630,0.390,2.120,0.630,2.000,0.390,2.080,0.350,3.130,0.270,3.130,3.270,3.700,0.970,0.724
Iron-SI-P,MA-201427,Eisenberg,22.090,1.750,1350.020,10.470,165.370,189.560,8.250,25.080,8.120,31.500,14.780,5.700,9.780,21.890,13.340,91.850,3.510,2.520,0.100,0.990,0.130,97.150,6.770,11.110,1.600,7.950,1.160,0.320,1.450,0.430,2.820,0.450,1.630,0.130,1.790,0.260,2.330,0.200,2.330,2.440,2.800,0.770,1.138
Iron-SI-P,MA-201427,Eisenberg,23.280,4.460,2430.280,11.310,104.490,109.820,18.080,45.850,15.260,27.270,20.240,9.230,0.420,60.140,27.360,100.760,3.590,4.530,0.190,0.180,0.290,167.870,17.790,41.550,4.850,20.700,4.390,1.130,6.140,0.470,4.430,0.400,2.110,0.200,1.900,0.420,3.180,0.400,3.180,4.930,5.800,1.018,0.991
Iron-SI-P,MA-201427,Eisenberg,23.680,0.010,2511.600,7.420,131.450,153.740,16.320,14.370,14.470,68.670,20.220,6.910,14.980,73.880,26.700,115.500,3.980,3.250,0.110,2.630,0.180,145.620,12.390,27.800,4.080,14.930,4.250,0.830,5.740,0.880,5.320,0.890,1.600,0.190,3.070,0.200,2.950,0.350,2.950,4.330,3.680,0.880,0.768
Iron-SI-P,MA-201427,Eisenberg,17.750,7.790,1022.160,9.610,160.960,228.620,4.380,0.510,5.770,6.090,6.190,0.440,36.930,80.000,50.860,207.530,7.880,0.330,0.340,0.010,1.950,485.990,32.070,58.410,8.230,34.320,8.330,1.610,7.800,1.210,6.890,1.460,4.430,0.560,3.680,0.520,5.500,0.590,5.500,5.700,6.870,0.819,0.937
Iron-SI-P,MA-201427,Eisenberg,15.050,5.610,1379.260,11.370,168.050,214.480,1.230,1.780,5.540,7.910,24.320,0.160,30.430,78.680,29.980,171.640,8.500,2.510,0.750,0.010,1.050,343.520,20.960,43.750,5.490,22.040,5.590,1.100,6.040,0.730,4.900,1.030,3.040,0.370,2.300,0.360,4.090,0.430,4.090,6.100,6.480,0.929,0.883
Iron-SI-P,MA-201427,Eisenberg,20.380,4.710,1083.880,10.330,71.840,60.470,1.610,3.190,5.050,5.850,25.630,1.010,33.940,93.440,38.130,211.940,10.020,2.480,0.430,0.150,1.300,400.000,25.210,53.290,6.490,28.340,5.930,1.600,6.090,1.150,6.180,1.280,3.510,0.560,3.400,0.510,5.360,0.560,5.360,7.390,7.900,0.949,1.245
Iron-SI-P,MA-201427,Eisenberg,18.680,8.010,1407.020,9.570,170.070,240.140,14.890,21.050,5.710,11.470,6.220,0.910,35.430,82.500,52.130,210.180,8.760,0.270,0.420,0.010,1.710,451.180,31.880,57.920,8.400,34.390,7.760,1.830,8.530,1.220,7.640,1.450,3.920,0.560,3.660,0.570,5.660,0.530,5.660,5.560,6.480,0.806,1.048
Iron-SI-P,MA-201427,Eisenberg,18.530,5.110,1003.290,11.400,118.190,112.580,17.120,31.050,4.270,4.220,11.690,0.010,40.180,93.590,31.740,238.850,9.410,1.030,0.890,0.030,1.710,339.680,23.220,43.750,5.380,22.950,4.960,1.100,5.140,0.780,4.680,1.040,2.970,0.400,2.690,0.410,6.640,0.510,6.640,5.960,5.250,0.893,1.018
Iron-SI-P,MA-201427,Eisenberg,19.270,4.220,1556.110,10.090,135.910,166.690,8.190,14.970,7.790,21.830,17.830,2.980,24.380,79.300,31.010,159.530,6.810,2.130,0.420,0.400,0.950,298.440,20.730,41.400,5.290,21.640,4.920,1.130,5.440,0.810,4.900,0.920,2.760,0.370,2.610,0.380,4.220,0.440,4.220,5.330,5.390,0.901,1.017
Bloom,MA-200988-1A,Eisenberg,28.500,19.000,350.500,9.100,49.500,29.600,1.400,0.200,2.700,14.500,8.000,0.300,123.400,348.200,63.200,113.000,9.200,1.500,1.200,,9.800,5113.000,29.300,54.800,7.200,33.400,8.600,2.300,12.900,2.100,12.400,2.500,6.300,0.800,4.800,0.600,3.000,0.700,1.000,8.500,14.400,0.860,0.985
Bloom,MA-200988-1A,Eisenberg,18.000,6.400,470.300,13.000,52.400,50.900,2.300,0.200,1.300,17.000,6.300,0.300,52.100,133.200,41.400,51.800,3.700,2.000,0.500,,4.000,1793.000,10.500,22.000,2.900,13.000,3.500,0.900,5.900,1.000,6.900,1.500,4.600,0.700,4.700,0.800,1.600,0.300,0.500,3.400,6.600,0.906,0.878
Bloom,MA-200988-1A,Eisenberg,31.600,24.200,452.900,7.200,32.700,13.400,0.600,0.200,3.600,16.500,8.300,0.200,146.900,449.200,82.600,142.700,11.500,1.300,1.500,,11.900,6654.700,40.200,72.800,9.800,46.000,12.400,3.300,18.200,2.800,16.900,3.300,8.300,1.000,5.900,0.800,4.200,0.900,1.300,12.100,18.000,0.836,0.994
Bloom,MA-200988-1A,Eisenberg,20.900,8.300,568.100,11.500,48.000,30.700,1.300,0.200,1.700,17.600,5.700,0.300,65.400,175.200,43.300,56.700,4.000,1.800,0.600,,5.100,2629.900,14.300,25.300,3.400,15.800,4.400,1.200,6.900,1.100,7.700,1.700,4.900,0.800,4.700,0.800,1.700,0.300,0.500,4.300,6.300,0.827,0.976
Bloom,MA-200988-1A,Eisenberg,16.100,3.000,575.200,12.200,74.200,53.500,2.000,0.010,0.800,19.000,7.700,0.200,21.800,53.000,26.000,29.800,1.800,1.900,0.200,,2.100,822.400,5.400,9.900,1.300,6.400,1.900,0.500,3.000,0.500,4.100,1.000,3.200,0.500,3.900,0.600,1.000,0.200,0.200,1.700,2.700,0.852,0.938
Bloom,MA-200988-1A,Eisenberg,20.900,10.400,492.800,11.700,44.100,18.600,0.800,0.100,1.900,16.700,7.200,0.010,84.800,216.500,57.800,79.400,5.500,1.800,0.800,,5.900,2831.200,19.000,36.000,5.000,21.300,5.500,1.500,9.300,1.600,10.300,2.100,6.000,0.800,5.500,0.900,2.300,0.500,0.700,5.800,9.300,0.841,0.929
Bloom,MA-200988-1A,Eisenberg,16.900,7.300,404.000,8.000,38.200,21.700,1.100,0.100,1.300,16.700,6.400,0.100,63.600,156.100,38.100,54.400,4.200,1.200,0.600,,5.400,2505.900,14.600,28.500,3.600,16.200,4.400,1.200,6.700,1.100,7.000,1.500,4.100,0.600,4.000,0.600,1.800,0.400,0.600,4.400,7.400,0.896,0.995
Bloom,MA-200988-1A,Eisenberg,16.400,7.600,405.300,8.600,36.900,20.300,1.100,0.200,1.200,14.800,5.400,0.200,63.500,165.100,38.400,53.500,4.200,1.400,0.700,,5.200,2575.300,14.100,28.500,3.600,15.800,4.600,1.200,6.700,1.100,6.900,1.500,4.200,0.600,4.000,0.600,1.600,0.400,0.500,4.300,8.000,0.912,0.979
Bloom,MA-200988-1A,Eisenberg,20.600,13.400,475.200,9.500,32.800,24.700,34.900,9.300,4.000,16.200,6.000,0.200,104.400,281.400,57.200,86.000,6.900,1.600,1.100,,9.400,4105.200,25.300,48.000,6.100,28.400,7.900,2.000,11.100,1.800,10.900,2.300,6.200,0.800,5.500,0.800,2.600,0.600,1.000,7.700,12.400,0.881,0.972
Bloom,MA-200988-1A,Eisenberg,30.800,15.400,368.400,7.600,56.900,43.700,5.500,1.200,2.900,19.000,7.000,0.010,158.000,359.800,58.300,97.900,8.200,1.500,1.300,,12.700,5550.300,30.100,59.100,7.300,31.800,8.600,2.400,12.800,1.900,11.300,2.200,5.900,0.800,4.700,0.600,3.000,0.700,1.100,9.000,15.700,0.909,1.033
Bloom,MA-200988-1A,Eisenberg,20.000,9.600,385.500,10.100,47.200,31.600,1.900,0.300,1.800,18.000,5.600,0.300,78.300,213.200,43.000,65.200,5.300,1.600,0.800,,6.200,3160.900,17.800,37.900,4.600,19.400,5.500,1.500,8.200,1.300,8.100,1.600,4.800,0.700,4.600,0.700,2.100,0.400,0.700,5.300,10.700,0.954,1.009
Bloom,MA-200988-1B,Eisenberg,30.300,12.400,170.900,8.500,31.400,13.100,0.600,0.200,3.000,12.700,7.000,0.010,115.200,249.800,43.300,68.500,6.900,1.200,0.900,,8.900,4009.200,19.900,45.900,5.200,21.900,5.900,1.700,8.000,1.300,7.300,1.500,4.000,0.500,3.400,0.500,1.700,0.400,1.000,4.800,11.200,1.028,1.131
Bloom,MA-200988-1B,Eisenberg,25.300,13.100,207.200,7.600,14.500,1.800,0.800,0.300,3.100,13.700,8.200,0.300,115.300,256.600,45.600,63.300,6.800,1.200,1.200,,8.500,4242.600,20.400,47.600,5.300,22.100,5.900,1.700,8.500,1.300,8.000,1.600,4.500,0.600,3.800,0.500,1.600,0.400,1.100,5.000,12.300,1.043,1.089
Bloom,MA-200988-1B,Eisenberg,24.700,13.800,226.200,8.500,19.100,3.700,2.700,0.200,3.400,16.700,7.200,0.300,95.600,255.500,48.500,76.100,7.600,1.500,1.300,,8.200,4209.700,22.600,53.300,5.900,25.400,6.700,1.900,9.800,1.500,8.800,1.800,4.700,0.600,4.100,0.500,1.900,0.500,1.200,5.700,13.800,1.051,1.062
Bloom,MA-200988-1B,Eisenberg,23.000,9.800,212.400,8.800,29.400,8.800,0.700,0.200,1.200,14.900,7.300,0.300,81.400,201.300,42.600,61.500,5.500,1.300,0.700,,6.700,3177.400,17.300,37.800,4.300,18.700,5.200,1.500,7.800,1.200,7.600,1.500,4.500,0.600,4.000,0.600,1.600,0.400,0.800,4.600,9.500,0.999,1.063
Bloom,MA-200988-1B,Eisenberg,27.200,13.300,242.800,7.600,19.200,4.800,1.200,0.200,1.400,14.900,7.500,0.300,111.100,276.500,44.400,69.600,7.100,1.000,1.000,,8.700,4623.000,22.500,51.600,5.800,24.200,6.600,2.100,9.200,1.400,8.600,1.700,4.500,0.600,3.800,0.500,1.900,0.500,1.100,5.700,13.300,1.029,1.228
Bloom,MA-200988-1B,Eisenberg,19.600,10.500,291.100,8.800,33.600,10.300,7.000,0.500,6.500,16.800,7.500,0.500,77.600,208.600,42.200,64.700,5.700,1.300,0.900,,6.800,3253.400,18.000,41.900,4.800,20.200,5.500,1.700,8.000,1.300,7.900,1.500,4.500,0.600,3.900,0.600,1.800,0.400,0.900,5.000,11.000,1.026,1.161
Bloom,MA-200988-1B,Eisenberg,29.800,10.700,223.400,7.900,39.100,11.000,0.500,0.010,2.100,18.200,8.800,0.400,88.000,215.400,40.200,64.400,5.900,1.200,0.800,,7.000,3439.800,17.800,37.800,4.400,19.300,5.400,1.400,7.600,1.200,7.300,1.500,4.200,0.600,3.700,0.500,1.700,0.400,0.800,4.600,9.100,0.974,0.994
Bloom,MA-200988-1B,Eisenberg,26.500,11.500,236.000,8.400,39.200,12.700,0.600,0.100,2.500,17.500,8.400,0.300,92.100,220.000,41.400,65.400,6.000,1.300,0.800,,7.100,3570.700,18.000,39.100,4.500,19.200,5.300,1.500,7.800,1.200,7.400,1.500,4.100,0.600,3.700,0.500,1.600,0.400,0.800,4.600,9.000,0.990,1.055
Bloom,MA-200988-1B,Eisenberg,29.300,12.600,232.300,8.900,35.000,12.000,0.600,0.200,2.100,14.500,7.000,0.400,90.100,245.400,44.000,71.200,6.300,1.200,1.000,,8.100,3857.600,18.500,41.100,4.800,20.600,5.700,1.600,8.000,1.300,7.500,1.600,4.400,0.600,4.000,0.600,1.900,0.400,0.900,4.500,9.800,0.994,1.078
Bloom,MA-200988-1B,Eisenberg,32.800,19.000,174.200,6.400,20.800,5.300,0.300,0.200,5.200,13.500,8.000,0.300,172.600,362.300,54.800,95.400,10.200,1.000,1.600,,12.700,5880.500,31.300,74.300,8.200,33.400,9.400,2.700,12.500,1.900,11.100,2.100,5.500,0.700,4.000,0.500,2.400,0.700,1.500,8.000,18.500,1.056,1.141
Bloom,MA-200988-1B,Eisenberg,27.500,9.700,219.800,8.900,44.800,14.800,0.700,0.010,2.400,18.300,8.100,0.300,75.500,182.000,34.100,55.300,5.300,1.500,0.900,,7.000,3031.200,14.400,35.800,4.000,16.100,4.400,1.200,6.300,1.100,6.200,1.300,3.700,0.500,3.300,0.500,1.500,0.400,0.800,3.900,10.100,1.072,1.035
Bloom,MA-200988-1B,Eisenberg,32.500,16.300,202.800,8.000,35.200,12.100,0.600,0.200,3.200,14.500,6.900,0.300,113.300,325.500,44.400,84.900,8.300,1.400,1.500,,10.300,5245.000,22.600,52.100,5.900,25.100,6.600,1.900,9.600,1.500,8.600,1.700,4.600,0.600,3.600,0.500,2.100,0.600,1.300,5.900,13.900,1.028,1.081
Bloom,MA-200988-1B,Eisenberg,38.400,15.900,171.300,6.000,20.200,10.200,2.400,0.500,3.500,15.900,7.400,0.400,142.300,330.300,47.300,79.600,8.100,1.200,1.400,,11.500,5116.500,25.600,57.400,6.500,26.900,7.100,2.000,10.100,1.500,8.800,1.700,4.500,0.600,3.500,0.500,2.000,0.500,1.100,6.400,13.700,1.014,1.073
Bloom,MA-200988-1B,Eisenberg,21.900,10.800,190.900,8.200,33.200,13.600,1.600,0.010,2.700,16.400,6.800,0.200,103.800,239.500,38.900,64.600,5.700,1.300,0.900,,7.900,3440.000,18.200,39.400,4.500,18.700,5.000,1.400,7.200,1.100,6.700,1.400,3.800,0.500,3.300,0.500,1.700,0.400,0.800,4.300,9.300,0.993,1.059
Bloom,MA-200988-1B,Eisenberg,26.700,9.300,196.500,8.200,70.600,52.600,1.800,0.200,3.100,19.200,7.200,0.400,99.800,193.600,36.400,65.700,5.400,1.600,0.800,,7.900,2897.300,16.300,35.200,4.100,17.300,5.000,1.300,6.900,1.100,6.200,1.200,3.600,0.500,2.900,0.400,1.600,0.400,0.700,4.100,8.500,0.981,1.009
Bloom,MA-200988-2B,Eisenberg,34.500,15.800,797.500,10.200,197.000,74.900,928.000,328.700,117.500,149.100,11.600,50.900,61.800,48.900,48.500,133.600,9.200,7.000,1.300,,9.000,596.300,30.400,65.200,8.100,34.000,8.500,2.000,12.300,2.000,10.400,2.200,5.300,0.700,4.200,0.500,3.900,0.700,0.900,8.100,15.500,0.946,0.887
Bloom,MA-200988-2B,Eisenberg,26.400,13.500,211.800,7.200,65.900,30.600,6.000,2.800,2.400,16.500,7.300,0.010,118.000,309.300,47.500,90.900,7.300,1.600,1.100,,9.500,4431.900,24.000,50.900,6.200,26.500,6.900,1.900,10.600,1.600,9.600,1.900,4.900,0.600,4.100,0.500,2.800,0.600,1.000,7.300,14.400,0.951,0.999
Bloom,MA-200988-2B,Eisenberg,19.500,6.800,220.100,7.400,56.100,30.100,2.200,0.400,1.400,20.800,9.100,0.010,57.300,141.500,29.900,43.400,3.700,1.600,0.500,,4.800,2138.900,12.300,25.900,3.200,13.500,3.500,1.000,5.500,0.900,5.500,1.200,3.300,0.500,3.000,0.500,1.300,0.300,0.600,3.700,7.200,0.940,1.021
Bloom,MA-200988-2B,Eisenberg,26.000,10.800,269.300,9.000,38.900,12.500,0.600,0.010,3.200,15.100,7.500,0.010,119.000,233.700,52.600,76.500,6.000,1.500,0.800,,8.200,3865.400,24.100,50.700,6.100,25.900,6.800,1.900,10.200,1.700,9.900,2.000,5.500,0.700,4.800,0.700,2.300,0.500,1.000,6.800,12.800,0.953,1.029
Bloom,MA-200988-2B,Eisenberg,26.800,9.300,269.300,9.400,33.600,10.400,0.800,0.100,1.800,17.200,7.700,0.300,95.200,221.400,43.800,56.400,4.600,1.500,0.800,,7.200,3501.800,18.400,39.200,4.600,19.400,5.600,1.600,7.900,1.400,7.600,1.600,4.700,0.600,4.500,0.700,1.700,0.400,0.800,5.100,9.800,0.971,1.094
