"Material","Sample","Site","Li","Be","S","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Iron-SI","MA-201419","Eisenberg","35.41","5.42","1224.28","18.76","1.04","2.88","0.93","8.94","2.51","1.17","0.42","3.77","83.63","808.42","104.67","170.47","4.1","0.01","0.27","0.1","5.79","1971.27","63.86","110.75","13.92","54.41","12.42","3.33","14.83","2.0","14.01","2.88","8.65","1.33","7.97","1.23","4.55","0.86","4.55","9.89","9.83"
"Iron-SI","MA-201419","Eisenberg","36.24","6.92","718.32","25.08","0.31","0.01","0.14","2.75","1.37","2.94","1.22","0.01","129.53","622.41","103.0","162.11","1.21","0.06","0.01","0.01","8.42","1992.95","64.68","112.0","13.99","53.67","10.96","3.05","16.33","2.28","13.25","2.95","8.3","1.22","8.57","1.44","5.12","0.72","5.12","10.55","9.38"
"Iron-SI","MA-201419","Eisenberg","38.3","6.04","2297.87","24.41","0.52","0.01","0.34","4.21","1.12","3.31","0.68","2.26","130.75","677.09","111.52","187.96","2.01","0.17","0.01","0.01","8.28","1980.58","66.66","114.07","14.16","60.64","11.81","3.6","15.37","2.25","14.88","2.75","9.09","1.28","7.63","1.36","5.34","0.77","5.34","10.38","10.5"
"Iron-SI","MA-201419","Eisenberg","36.04","5.81","1757.67","23.12","0.77","1.29","0.06","0.38","0.86","3.53","1.09","0.37","126.17","664.41","109.6","176.73","3.15","0.27","0.01","0.01","9.19","1963.99","64.58","113.26","14.37","57.93","13.13","3.31","15.42","2.17","13.2","2.9","8.28","1.2","7.71","1.27","4.55","0.92","4.55","9.77","10.19"
"Iron-SI","MA-201419","Eisenberg","36.46","5.76","403.52","21.77","2.56","2.78","0.07","2.18","0.47","2.41","0.85","0.01","127.94","645.79","105.26","181.64","4.46","0.24","0.01","0.06","9.71","1882.1","61.85","106.48","13.48","56.43","12.41","2.94","14.25","2.09","13.35","2.65","8.71","1.17","6.89","1.08","4.87","0.8","4.87","9.56","10.03"
"Iron-SI","MA-201419","Eisenberg","35.0","8.17","1681.09","21.46","1.5","3.15","0.79","5.97","1.53","16.16","1.12","0.01","123.05","650.34","103.55","178.41","3.87","0.35","0.18","0.09","8.52","1895.6","62.54","106.95","12.82","56.28","13.18","3.11","15.3","2.15","12.6","2.92","8.1","1.22","6.94","1.23","4.43","0.77","4.43","9.35","9.88"
"Iron-SI","MA-201419","Eisenberg","34.67","5.02","2659.09","24.28","2.11","3.22","1.85","17.56","4.2","13.97","0.9","1.06","126.61","617.68","104.53","173.14","4.41","0.49","0.01","0.29","10.06","1817.82","59.49","106.02","13.47","54.99","11.69","3.41","14.69","2.18","14.36","2.92","9.11","1.2","8.02","0.97","4.95","0.78","4.95","9.64","9.38"
"Iron-SI","MA-201419","Eisenberg","32.42","6.56","2900.25","24.19","1.59","2.89","1.0","13.03","0.93","2.69","1.52","3.15","111.77","608.59","110.89","177.73","5.45","0.63","0.18","0.01","9.9","1761.63","62.55","108.75","13.47","53.2","12.06","2.94","16.26","2.19","14.02","3.08","8.49","1.18","8.15","1.29","5.05","0.84","5.05","9.46","9.06"
"Iron-SI","MA-201419","Eisenberg","31.3","5.66","1641.37","17.79","38.73","39.42","0.19","1.94","0.68","2.28","1.8","0.01","77.13","751.99","92.07","155.83","10.19","0.67","0.27","0.01","4.12","1907.53","52.64","94.3","11.27","47.66","9.67","2.8","11.9","1.89","11.39","2.34","7.3","1.02","6.15","0.94","3.9","0.76","3.9","8.3","8.44"
"Iron-SI","MA-201419","Eisenberg","33.71","5.74","1424.96","19.16","42.64","38.81","0.56","6.92","0.6","1.14","1.53","0.58","73.9","749.44","90.12","153.59","10.5","0.46","0.01","0.01","3.88","1887.66","53.4","94.77","11.87","47.54","10.3","2.56","12.0","1.88","11.27","2.47","7.08","0.89","7.24","0.98","4.35","0.76","4.35","8.51","8.14"
"Iron-SI","MA-201419","Eisenberg","34.97","5.87","1723.64","21.72","7.92","8.27","1.26","10.99","5.25","14.73","1.07","1.29","110.87","694.19","103.45","170.78","4.66","0.32","0.11","0.06","7.59","1888.54","60.48","105.44","13.25","53.56","11.62","3.07","14.46","2.07","12.95","2.75","8.04","1.16","7.31","1.18","4.61","0.81","4.61","9.36","9.36"
"Iron-SI-P","MA-201421","Eisenberg","19.78","1.39","831.32","9.56","20.34","22.66","5.03","4.33","3.72","1.3","5.62","0.56","48.16","125.52","10.37","128.45","5.01","0.44","1.9","0.01","2.26","302.91","12.37","24.42","2.73","11.54","2.41","0.44","2.24","0.3","1.85","0.34","1.13","0.11","1.14","0.18","3.75","0.34","3.75","3.6","1.13"
"Iron-SI-P","MA-201421","Eisenberg","17.82","0.85","1526.51","8.26","21.43","24.61","12.7","17.05","7.84","5.94","5.56","4.71","43.09","126.61","9.91","120.49","4.91","0.22","1.95","0.04","2.04","293.11","12.58","24.95","2.99","9.44","2.41","0.57","2.02","0.33","1.36","0.36","0.81","0.12","1.03","0.17","3.55","0.26","3.55","3.36","1.25"
