"Material","Measurement","Key","Sample","SubSample","Li","Be","Na2O","MgO","Al2O3","SiO2","P2O5","S","K2O","CaO","Sc","TiO","V","Cr","MnO","Fe2O3","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Pb","Th","U","SiO2 (%)","Na2O (%)","MgO (%)","Al2O3 (%)","P2O5 (%)","MnO (%)","CaO (%)","TiO2 (%)","K2O (%)","Fe2O3 (%)"
"Bloom","Average",45,"MA-200988-1A","1A-4",16.6,7.5,717.7,8955.3,53392.6,200151.6,7263,404.6,14005.7,25739.5,8.3,1659.8,37.5,21,69164.4,615420,1.1,0.2,1.2,15.8,5.9,0.2,63.5,160.6,38.2,53.9,4.2,1.3,0.6,5.3,2540.6,14.4,28.5,3.6,16,4.5,1.2,6.7,1.1,6.9,1.5,4.1,0.6,4,0.6,1.7,0.4,0.6,0.3,4.4,7.7,20,0.1,0.9,5.3,0.7,6.9,2.6,0.2,1.4,61.54
"Bloom","Average",46,"MA-200988-1A","1A-5",23.8,12.8,1299.4,9395.3,66152.5,228817.8,10353.4,409.7,24734.2,36070.7,9.1,2011.7,45.6,33.3,70087.3,545454,14.1,3.6,2.9,17.7,6.2,0.2,113.6,284.8,52.8,83,6.8,1.6,1.1,9.4,4272.1,24.4,48.3,6,26.5,7.3,2,10.7,1.7,10.1,2,5.6,0.8,4.9,0.7,2.6,0.6,0.9,0.6,7.3,13,22.9,0.1,0.9,6.6,1,7,3.6,0.2,2.5,54.55
"Bloom","Mean",47,"MA-200988-1A","1A",21.5,11,1007.7,10729.5,64041.8,236616.7,9617.3,449.9,20136.7,32695.2,10.1,2006.6,46,29.1,80015.9,538604,3.8,0.8,2,16.7,6.7,0.2,85.5,225.7,50.4,75,5.8,1.6,0.8,6.8,3293.2,19.5,37.5,4.9,21.9,5.9,1.6,9.1,1.5,9.3,1.9,5.3,0.7,4.8,0.7,2.2,0.5,0.7,0.4,5.9,9.9,23.7,0.1,1.1,6.4,1,8,3.3,0.2,2,53.86
"Bloom","Average",48,"MA-200988-1B","1B-1",26.8,13.1,1512.2,7477.4,68433.7,262391.3,10160.9,201.4,29599.5,37521.2,8.2,1842.1,21.7,6.2,69111.3,506797,1.4,0.2,3.2,14.4,7.4,0.2,108.7,254,45.8,69.3,7.1,1.3,1.1,8.5,4153.8,20.9,48.9,5.5,23.2,6.2,1.8,8.8,1.4,8,1.6,4.4,0.6,3.8,0.5,1.7,0.4,1.1,0.4,5.1,12.4,26.2,0.2,0.7,6.8,1,6.9,3.8,0.2,3,50.68
"Bloom","Average",49,"MA-200988-1B","1B-2",23.3,11.2,1115.9,8008.3,64653,250611.2,9445.7,248.8,23101.4,32113.9,8.4,1949.6,27.4,8,72385,531944,2.9,0.3,3,15.5,7.4,0.4,90,228.8,43,65.3,6.1,1.2,0.9,7.4,3684.6,19.3,43.8,5,21,5.7,1.8,8.3,1.3,8,1.6,4.5,0.6,3.9,0.6,1.7,0.4,0.9,0.4,5.1,11.3,25.1,0.1,0.8,6.5,0.9,7.2,3.2,0.2,2.3,53.19
"Bloom","Average",50,"MA-200988-1B","1B-3",28.5,11.6,1406,8336,72809.6,238223.2,8560.7,230.6,22269.4,34978.1,8.4,2382,37.8,11.9,77121.1,529319,0.6,0.1,2.2,16.7,8,0.3,90,226.9,41.9,67,6.1,1.2,0.9,7.4,3622.7,18.1,39.3,4.6,19.7,5.5,1.5,7.8,1.2,7.4,1.5,4.2,0.6,3.8,0.5,1.7,0.4,0.9,0.4,4.6,9.3,23.8,0.1,0.8,7.3,0.9,7.7,3.5,0.2,2.2,52.93
"Bloom","Average",51,"MA-200988-1B","1B-4",30.9,15,1708.7,7235.7,71924.6,251375.5,10895.6,198.9,22568.6,38403,7.8,2197,33.6,10.7,67890,512851,0.5,0.2,3.6,15.4,7.7,0.3,120.4,289.9,44.4,78.5,8,1.3,1.3,10,4718.9,22.8,54.1,6,24.9,6.8,1.9,9.5,1.5,8.6,1.7,4.6,0.6,3.6,0.5,2,0.5,1.2,0.5,5.9,14.2,25.1,0.2,0.7,7.2,1.1,6.8,3.8,0.2,2.3,51.29
"Bloom","Average",52,"MA-200988-1B","1B-5",29,12,1483.2,7762.9,73299.2,236049.3,9674,186.3,28137.9,35969.1,7.5,2025.3,41.3,25.5,69159.9,531611,1.9,0.2,3.1,17.2,7.1,0.3,115.3,254.5,40.9,70,6.4,1.4,1,9.1,3817.9,20,44,5,21,5.7,1.6,8,1.2,7.2,1.4,4,0.5,3.3,0.4,1.8,0.4,0.9,0.4,4.9,10.5,23.6,0.1,0.8,7.3,1,6.9,3.6,0.2,2.8,53.16
"Bloom","Mean",53,"MA-200988-1B","1B",28.8,12.9,1527.5,7703,71616.8,247009.8,9822.8,204.3,25643.9,36717.9,8,2111.6,33.6,13.6,70820.6,520145,1.1,0.2,3,15.9,7.6,0.3,108.6,256.3,43.3,71.2,6.9,1.3,1.1,8.8,4078.3,20.5,46.6,5.3,22.2,6,1.7,8.5,1.3,7.8,1.6,4.3,0.6,3.6,0.5,1.8,0.4,1,0.4,5.1,11.6,24.7,0.2,0.8,7.2,1,7.1,3.7,0.2,2.6,52.01
"Bloom","Average",54,"MA-200988-2B","2B-1",26.8,12,1021.2,11115.6,75743.9,202137.6,9610.8,409.8,15981.1,24719.5,8.3,3862.6,106.3,45.2,61241.9,590351,,,,,9.3,,79,166.6,42,89.3,6.7,3.4,1,7.8,2389,22.2,47.4,5.8,24.7,6.3,1.6,9.5,1.5,8.5,1.8,4.5,0.6,3.8,0.5,2.7,0.5,0.8,10.3,6.3,12.4,20.2,0.1,1.1,7.6,1,6.1,2.5,0.4,1.6,59.04
"Bloom","Average",55,"MA-200988-2B","2B-2",25.7,10,1139.9,9918.1,72404.9,253913.5,8919.5,272.1,21916.1,35093.5,9.3,2200.3,37.3,12.2,80381,509576,0.7,0.1,2.4,16.5,8.1,0.2,97.9,215.3,46.5,64,5.3,1.6,0.8,7.5,3515.7,19.7,41.6,5,21.5,5.9,1.6,8.6,1.4,8.4,1.8,5,0.7,4.6,0.7,1.9,0.4,0.9,0.3,5.5,10.6,20.2,0.1,1.1,7.6,1,6.1,2.5,0.4,1.6,50.96
"Bloom","Average",56,"MA-200988-2B","2B-3",25.1,11.2,1130.8,9959.8,73525,242840.6,8948.6,231.5,21194.8,36039.3,8.9,2248.1,37.6,13.5,77565,521699,0.5,0.6,1.9,15.9,7.8,0.3,92.7,234.3,47.9,70.3,6,1.6,0.9,7.7,3844.2,20,42.8,5.1,21.8,6.1,1.8,8.7,1.4,8.4,1.7,4.9,0.7,4.4,0.6,2,0.5,0.9,0.4,5.5,10.7,24.3,0.1,1,7.4,0.9,7.8,3.6,0.2,2.1,52.17
"Bloom","Average",57,"MA-200988-2B","2B-4",26.9,14.7,951.9,3883.1,83701.4,209257.3,9921.3,230.3,30752.7,42101.3,6.7,2193.9,38,16.4,53078.7,557965,3.6,2.8,9.6,14.7,7.9,1.4,126.4,304,53.9,80.4,7.3,2,1.2,10.4,5011.8,25.5,54,6.5,28.4,7.7,2.2,10.8,1.7,9.8,2,5.3,0.7,4.2,0.5,2.2,0.5,1,0.5,6.8,12.7,20.9,0.1,0.4,8.4,1,5.3,4.2,0.2,3.1,55.8
"Bloom","Average",58,"MA-200988-2B","2B-5",18.6,4.4,367.3,14880.3,51422.9,237833.1,4861.4,260.1,9283.2,19915.6,10,1876.4,73.6,51.6,95676.5,561854,24,3.6,6.5,16.9,6.9,0.1,37.8,79.7,26.8,35,2.6,1.8,0.4,3.1,1260.6,7.8,17,2,8.8,2.5,0.7,3.9,0.7,4.4,1,3,0.5,3.3,0.5,1,0.2,0.3,0.2,2.2,4.4,23.8,0,1.5,5.1,0.5,9.6,2,0.2,0.9,56.19
"Bloom","Mean",59,"MA-200988-2B","2B",24.6,10.4,922.2,9951.4,71359.6,229196.5,8452.3,280.8,19825.6,31573.8,8.6,2476.3,58.5,27.8,73588.6,548289,7.2,1.8,5.1,16,8,0.5,86.8,200,43.4,67.8,5.6,2.1,0.8,7.3,3204.3,19,40.6,4.9,21,5.7,1.6,8.3,1.4,7.9,1.6,4.6,0.6,4,0.6,1.9,0.4,0.8,2.3,5.3,10.1,21.9,0.1,1,7.2,0.9,7,2.9,0.3,1.9,54.83
